Label,Comment,Components,Shape,Height,Width,Rep Rate,Speed,Angle,Hg202,Pb204,Pb206,Pb207,Pb208,Th232,U238,U235,TotalBeam,BeamSeconds,Mask,Hg202_CPS,Pb204_CPS,Pb206_CPS,Pb207_CPS,Pb208_CPS,Th232_CPS,U238_CPS,U235_CPS,TotalBeam_CPS,Raw U/Th,Hg202_CPS,Pb204_CPS,Pb206_CPS,Pb207_CPS,Pb208_CPS,Th232_CPS,U238_CPS,U235_CPS,TotalBeam_CPS,Pb206/U238,Pb206/U238 age,Pb207/U235,Pb207/U235 age,Pb208/Th232,Pb208/Th232 age,DC Pb206/U238,DC Pb206/U238 age,DC Pb207/U235,DC Pb207/U235 age,DC Pb208/Th232,DC Pb208/Th232 age,DC Pb207/Pb206,DC Pb207/Pb206 age,Final Pb206/U238,Final Pb206/U238 age,Final Pb207/U235,Final Pb207/U235 age,Final Pb208/Th232,Final Pb208/Th232 age,Final Pb207/Pb206,Final Pb207/Pb206 age,Final U238/Pb206,Final U/Th,Approx_U_PPM,Approx_Th_PPM,
,,-,,,,,,,1121 ± 71,276 ± 36,339 ± 93,212 ± 13,521 ± 43,0 ± 0.0E+0,260 ± 510,1.9 ± 3.7,2730 ± 550,0 ± 0.0E+0,1.00E+0 ± 0,4 ± 71,3 ± 36,64 ± 93,12 ± 13,22 ± 43,-0.0000034927 ± 0.0000000019,260 ± 510,1.8 ± 3.7,340 ± 550,-70000000 ± 150000000,4 ± 71,3 ± 36,64 ± 93,12 ± 13,22 ± 43,-0.0000034927 ± 0.0000000019,260 ± 510,1.8 ± 3.7,340 ± 550,-410000 ± 600000,78700 ± 6700,-600 ± 620,6200 ± 1100,-6000000 ± 12000000,348900 ± 4800,-210000 ± 300000,74400 ± 6400,-600 ± 620,6200 ± 1100,-6000000 ± 12000000,348900 ± 4800,0.2 ± 1.0,3210 ± 770,-550000 ± 800000,80400 ± 6900,-780 ± 820,6300 ± 1300,0 ± 0.0E+0,0 ± 0.0E+0,0.24 ± 0.99,3190 ± 770,33 ± 65,-21000000 ± 42000000,0.06 ± 0.13,-3.05E-9 ± 0,
,,-,,,,,,,1090 ± 81,276 ± 33,290 ± 30,204 ± 12,488 ± 47,0 ± 0.0E+0,0 ± 0.0E+0,0 ± 0.0E+0,2350 ± 100,0 ± 0.0E+0,1.00E+0 ± 0,-28 ± 81,2 ± 33,12 ± 30,2 ± 12,-16 ± 47,-0.0000036314 ± 0.0000000019,-0.0001547982 ± 0.0000000073,-0.02114357 ± 0.00000096,-60 ± 100,42.628 ± 0.020,-28 ± 81,2 ± 33,12 ± 30,2 ± 12,-16 ± 47,-0.0000036314 ± 0.0000000019,-0.0001547982 ± 0.0000000073,-0.02114357 ± 0.00000096,-60 ± 100,-80000 ± 200000,83000 ± 1500,-110 ± 550,6860 ± 370,4000000 ± 13000000,337000 ± 10000,-39000 ± 98000,78600 ± 1500,-110 ± 550,6860 ± 370,4000000 ± 13000000,337000 ± 10000,-0.6 ± 1.0,2040 ± 620,-100000 ± 260000,84800 ± 1500,-140 ± 720,7130 ± 370,0 ± 0.0E+0,0 ± 0.0E+0,-0.6 ± 1.0,2020 ± 630,-0.0000038 ± 0.0000029,12.2629 ± 0.0053,-3.88E-8 ± 0,-3.13E-9 ± 0,
,,-,,,,,,,1073 ± 69,236 ± 27,364 ± 38,222 ± 15,515 ± 48,0 ± 0.0E+0,0 ± 0.0E+0,0 ± 0.0E+0,2410 ± 100,0 ± 0.0E+0,1.00E+0 ± 0,-48 ± 69,-38 ± 27,83 ± 38,18 ± 15,5 ± 48,-0.0000037780 ± 0.0000000019,-0.0001553614 ± 0.0000000074,-0.02121819 ± 0.00000098,-10 ± 100,41.122 ± 0.019,-48 ± 69,-38 ± 27,83 ± 38,18 ± 15,5 ± 48,-0.0000037780 ± 0.0000000019,-0.0001553614 ± 0.0000000074,-0.02121819 ± 0.00000098,-10 ± 100,-530000 ± 250000,83400 ± 1900,-840 ± 720,6930 ± 440,-1000000 ± 13000000,341400 ± 8300,-270000 ± 120000,79000 ± 1900,-840 ± 720,6930 ± 440,-1000000 ± 13000000,341400 ± 8300,-4.4 ± 6.4,3130 ± 490,-700000 ± 330000,85200 ± 1900,-1100 ± 940,7200 ± 440,0 ± 0.0E+0,0 ± 0.0E+0,-4.4 ± 6.3,3110 ± 500,-0.000033 ± 0.000025,11.8684 ± 0.0050,-3.87E-8 ± 0,-3.20E-9 ± 0,
,,-,,,,,,,1119 ± 59,275 ± 28,282 ± 24,210 ± 12,528 ± 38,0 ± 0.0E+0,0 ± 0.0E+0,0 ± 0.0E+0,2415 ± 76,0 ± 0.0E+0,1.00E+0 ± 0,-3 ± 59,-0 ± 28,-1 ± 24,4 ± 12,13 ± 38,-0.0000039232 ± 0.0000000020,-0.0001559191 ± 0.0000000079,-0.0212921 ± 0.0000010,-16 ± 76,39.743 ± 0.019,-3 ± 59,-0 ± 28,-1 ± 24,4 ± 12,13 ± 38,-0.0000039232 ± 0.0000000020,-0.0001559191 ± 0.0000000079,-0.0212921 ± 0.0000010,-16 ± 76,10000 ± 150000,81400 ± 2700,-190 ± 580,7050 ± 360,-3200000 ± 9600000,340100 ± 5900,4000 ± 76000,76900 ± 2700,-190 ± 580,7050 ± 360,-3200000 ± 9600000,340100 ± 5900,-0.6 ± 1.6,2150 ± 670,10000 ± 200000,83100 ± 2700,-250 ± 760,7320 ± 360,0 ± 0.0E+0,0 ± 0.0E+0,-0.6 ± 1.6,2140 ± 670,0.0000040 ± 0.0000032,11.5072 ± 0.0049,-3.87E-8 ± 0,-3.28E-9 ± 0,
,,-,,,,,,,1080 ± 61,312 ± 31,264 ± 23,211 ± 11,499 ± 36,0 ± 0.0E+0,210 ± 430,1.6 ± 3.1,2580 ± 440,0 ± 0.0E+0,1.00E+0 ± 0,-43 ± 61,36 ± 31,-23 ± 23,3 ± 11,-21 ± 36,-0.0000040666 ± 0.0000000020,210 ± 430,1.5 ± 3.1,140 ± 440,-50000000 ± 110000000,-43 ± 61,36 ± 31,-23 ± 23,3 ± 11,-21 ± 36,-0.0000040666 ± 0.0000000020,210 ± 430,1.5 ± 3.1,140 ± 440,150000 ± 150000,79500 ± 4000,-140 ± 520,7140 ± 540,5200000 ± 8900000,338200 ± 5800,73000 ± 73000,75100 ± 3900,-140 ± 520,7140 ± 540,5200000 ± 8900000,338200 ± 5800,-0.79 ± 0.89,2860 ± 440,190000 ± 190000,81200 ± 4100,-190 ± 680,7400 ± 560,0 ± 0.0E+0,0 ± 0.0E+0,-0.78 ± 0.88,2990 ± 450,6 ± 13,-15000000 ± 31000000,0.05 ± 0.11,-3.35E-9 ± 0,
,,-,,,,,,,1126 ± 61,296 ± 32,281 ± 26,211 ± 12,529 ± 46,0 ± 0.0E+0,230 ± 450,1.6 ± 3.3,2670 ± 450,0 ± 0.0E+0,1.00E+0 ± 0,1 ± 61,20 ± 32,-8 ± 26,1 ± 12,4 ± 46,-0.0000042068 ± 0.0000000020,230 ± 450,1.6 ± 3.3,220 ± 450,-50000000 ± 110000000,1 ± 61,20 ± 32,-8 ± 26,1 ± 12,4 ± 46,-0.0000042068 ± 0.0000000020,230 ± 450,1.6 ± 3.3,220 ± 450,40000 ± 160000,80000 ± 4500,-70 ± 570,7150 ± 560,-1000000 ± 11000000,341700 ± 6100,20000 ± 82000,75700 ± 4300,-70 ± 570,7150 ± 560,-1000000 ± 11000000,341700 ± 6100,0.03 ± 0.53,2870 ± 540,50000 ± 210000,81700 ± 4500,-90 ± 740,7410 ± 590,0 ± 0.0E+0,0 ± 0.0E+0,0.03 ± 0.53,2850 ± 540,-1.3 ± 2.6,-16000000 ± 31000000,0.06 ± 0.11,-3.42E-9 ± 0,
,,-,,,,,,,1129 ± 64,285 ± 33,280 ± 31,200 ± 11,543 ± 50,0 ± 0.0E+0,240 ± 480,1.7 ± 3.5,2680 ± 490,0 ± 0.0E+0,1.00E+0 ± 0,3 ± 64,8 ± 33,-12 ± 31,-12 ± 11,12 ± 50,-0.0000043413 ± 0.0000000019,240 ± 480,1.7 ± 3.5,210 ± 490,-60000000 ± 110000000,3 ± 64,8 ± 33,-12 ± 31,-12 ± 11,12 ± 50,-0.0000043413 ± 0.0000000019,240 ± 480,1.7 ± 3.5,210 ± 490,80000 ± 200000,81500 ± 4400,560 ± 530,6570 ± 780,-3000000 ± 12000000,343400 ± 6000,38000 ± 99000,77200 ± 4200,560 ± 530,6570 ± 780,-3000000 ± 12000000,343400 ± 6000,-0.02 ± 0.29,2780 ± 620,100000 ± 260000,83200 ± 4500,730 ± 690,7040 ± 690,0 ± 0.0E+0,0 ± 0.0E+0,-0.02 ± 0.28,2760 ± 630,-17 ± 34,-16000000 ± 32000000,0.06 ± 0.12,-3.48E-9 ± 0,
,,-,,,,,,,1101 ± 69,281 ± 32,302 ± 32,205 ± 11,532 ± 40,0 ± 0.0E+0,430 ± 610,3.2 ± 4.4,2860 ± 630,0 ± 0.0E+0,1.00E+0 ± 0,-27 ± 69,4 ± 32,7 ± 32,-10 ± 11,-4 ± 40,-0.0000044833 ± 0.0000000020,430 ± 610,3.1 ± 4.4,380 ± 630,-100000000 ± 140000000,-27 ± 69,4 ± 32,7 ± 32,-10 ± 11,-4 ± 40,-0.0000044833 ± 0.0000000020,430 ± 610,3.1 ± 4.4,380 ± 630,-60000 ± 200000,78500 ± 5800,450 ± 520,6680 ± 540,900000 ± 9000000,342100 ± 5700,-29000 ± 99000,74200 ± 5500,450 ± 520,6680 ± 540,900000 ± 9000000,342100 ± 5700,0.04 ± 0.48,3340 ± 430,-80000 ± 260000,80100 ± 5900,590 ± 670,6930 ± 550,0 ± 0.0E+0,0 ± 0.0E+0,0.04 ± 0.47,3320 ± 430,-13 ± 25,-28000000 ± 40000000,0.11 ± 0.15,-3.55E-9 ± 0,
,,-,,,,,,,1080 ± 55,276 ± 33,261 ± 19,204 ± 12,522 ± 39,0 ± 0.0E+0,190 ± 380,1.4 ± 2.8,2540 ± 410,0 ± 0.0E+0,1.00E+0 ± 0,-49 ± 55,-2 ± 33,-37 ± 19,-12 ± 12,-19 ± 39,-0.0000046206 ± 0.0000000021,190 ± 380,1.4 ± 2.8,40 ± 410,-41000000 ± 83000000,-49 ± 55,-2 ± 33,-37 ± 19,-12 ± 12,-19 ± 39,-0.0000046206 ± 0.0000000021,190 ± 380,1.4 ± 2.8,40 ± 410,250000 ± 120000,82000 ± 3200,600 ± 530,7360 ± 340,4100000 ± 8400000,343900 ± 4700,123000 ± 59000,77600 ± 3100,600 ± 530,7360 ± 340,4100000 ± 8400000,343900 ± 4700,0.11 ± 0.40,3350 ± 400,320000 ± 150000,83700 ± 3300,780 ± 690,7610 ± 350,0 ± 0.0E+0,0 ± 0.0E+0,0.11 ± 0.39,3340 ± 400,0.9 ± 1.7,-12000000 ± 24000000,0.046 ± 0.093,-3.61E-9 ± 0,
,,-,,,,,,,1175 ± 56,281 ± 30,339 ± 28,243 ± 13,584 ± 40,0 ± 0.0E+0,0 ± 0.0E+0,0 ± 0.0E+0,2622 ± 77,0 ± 0.0E+0,1.00E+0 ± 0,31 ± 56,-3 ± 30,14 ± 28,6 ± 13,-8 ± 40,-0.0000060099 ± 0.0000000021,-0.0001639335 ± 0.0000000080,-0.0223541 ± 0.0000011,3 ± 77,27.2774 ± 0.0081,31 ± 56,-3 ± 30,14 ± 28,6 ± 13,-8 ± 40,-0.0000060099 ± 0.0000000021,-0.0001639335 ± 0.0000000080,-0.0223541 ± 0.0000011,3 ± 77,-90000 ± 170000,81900 ± 1800,-260 ± 560,7620 ± 270,1300000 ± 6700000,332600 ± 5300,-44000 ± 85000,77400 ± 1800,-260 ± 560,7620 ± 270,1300000 ± 6700000,332600 ± 5300,-0.04 ± 0.43,2970 ± 600,-110000 ± 220000,83400 ± 1800,-340 ± 720,7860 ± 270,0 ± 0.0E+0,0 ± 0.0E+0,-0.04 ± 0.43,2960 ± 600,0.00000099 ± 0.00000100,8.2829 ± 0.0021,-3.82E-8 ± 0,-4.16E-9 ± 0,
,,-,,,,,,,1172 ± 65,317 ± 30,388 ± 31,250 ± 14,591 ± 45,0 ± 0.0E+0,210 ± 420,1.5 ± 3.1,2930 ± 430,0 ± 0.0E+0,1.00E+0 ± 0,27 ± 65,32 ± 30,60 ± 31,11 ± 14,-6 ± 45,-0.0000061498 ± 0.0000000020,210 ± 420,1.5 ± 3.1,300 ± 430,-34000000 ± 69000000,27 ± 65,32 ± 30,60 ± 31,11 ± 14,-6 ± 45,-0.0000061498 ± 0.0000000020,210 ± 420,1.5 ± 3.1,300 ± 430,-370000 ± 190000,79200 ± 5700,-500 ± 600,6750 ± 640,1000000 ± 7200000,339200 ± 4500,-185000 ± 95000,74900 ± 5400,-500 ± 600,6750 ± 640,1000000 ± 7200000,339200 ± 4500,-0.06 ± 0.37,3210 ± 320,-470000 ± 240000,80700 ± 5800,-640 ± 760,6980 ± 650,0 ± 0.0E+0,0 ± 0.0E+0,-0.06 ± 0.36,3200 ± 320,-3.6 ± 7.1,-10000000 ± 21000000,0.049 ± 0.098,-4.21E-9 ± 0,
,,-,,,,,,,1130 ± 58,271 ± 32,323 ± 27,246 ± 13,610 ± 45,0 ± 0.0E+0,230 ± 460,1.7 ± 3.3,2810 ± 480,0 ± 0.0E+0,1.00E+0 ± 0,-16 ± 58,-14 ± 32,-7 ± 27,5 ± 13,7 ± 45,-0.0000062888 ± 0.0000000020,230 ± 460,1.6 ± 3.3,170 ± 480,-36000000 ± 73000000,-16 ± 58,-14 ± 32,-7 ± 27,5 ± 13,7 ± 45,-0.0000062888 ± 0.0000000020,230 ± 460,1.6 ± 3.3,170 ± 480,40000 ± 160000,81000 ± 4500,-190 ± 560,7070 ± 460,-1200000 ± 7100000,338900 ± 4900,19000 ± 81000,76700 ± 4300,-190 ± 560,7070 ± 460,-1200000 ± 7100000,338900 ± 4900,0.03 ± 0.52,3140 ± 550,50000 ± 210000,82500 ± 4600,-240 ± 710,7310 ± 460,0 ± 0.0E+0,0 ± 0.0E+0,0.03 ± 0.51,3130 ± 550,-2.2 ± 4.5,-11000000 ± 22000000,0.05 ± 0.11,-4.26E-9 ± 0,
,,-,,,,,,,1178 ± 54,288 ± 30,300 ± 26,234 ± 11,598 ± 47,0 ± 0.0E+0,410 ± 570,2.9 ± 4.1,3010 ± 590,0 ± 0.0E+0,1.00E+0 ± 0,30 ± 54,3 ± 30,-34 ± 26,-9 ± 11,-10 ± 47,-0.0000064376 ± 0.0000000021,410 ± 570,2.9 ± 4.1,350 ± 590,-63000000 ± 89000000,30 ± 54,3 ± 30,-34 ± 26,-9 ± 11,-10 ± 47,-0.0000064376 ± 0.0000000021,410 ± 570,2.9 ± 4.1,350 ± 590,220000 ± 160000,81300 ± 5100,390 ± 500,6940 ± 510,1500000 ± 7300000,342400 ± 4500,108000 ± 78000,77100 ± 4900,390 ± 500,6940 ± 510,1500000 ± 7300000,342400 ± 4500,-0.62 ± 0.53,2950 ± 660,280000 ± 200000,82800 ± 5200,490 ± 630,7170 ± 520,0 ± 0.0E+0,0 ± 0.0E+0,-0.61 ± 0.52,2930 ± 670,17 ± 31,-19000000 ± 27000000,0.09 ± 0.13,-4.31E-9 ± 0,
,,-,,,,,,,1226 ± 55,311 ± 35,306 ± 17,234 ± 12,604 ± 44,0 ± 0.0E+0,490 ± 560,3.6 ± 4.1,3180 ± 560,0 ± 0.0E+0,1.00E+0 ± 0,76 ± 55,25 ± 35,-30 ± 17,-12 ± 12,-9 ± 44,-0.0000065844 ± 0.0000000023,490 ± 560,3.5 ± 4.1,500 ± 560,-74000000 ± 85000000,76 ± 55,25 ± 35,-30 ± 17,-12 ± 12,-9 ± 44,-0.0000065844 ± 0.0000000023,490 ± 560,3.5 ± 4.1,500 ± 560,170000 ± 100000,79300 ± 5200,510 ± 510,7170 ± 520,1300000 ± 6600000,340800 ± 3700,87000 ± 52000,75000 ± 5000,510 ± 510,7170 ± 520,1300000 ± 6600000,340800 ± 3700,-0.28 ± 0.86,3230 ± 470,220000 ± 130000,80700 ± 5300,640 ± 640,7390 ± 530,0 ± 0.0E+0,0 ± 0.0E+0,-0.28 ± 0.85,3220 ± 470,-3 ± 13,-23000000 ± 26000000,0.11 ± 0.13,-4.36E-9 ± 0,
,,-,,,,,,,1136 ± 58,280 ± 29,328 ± 44,234 ± 12,616 ± 45,0 ± 0.0E+0,0 ± 0.0E+0,0 ± 0.0E+0,2594 ± 100,0 ± 0.0E+0,1.00E+0 ± 0,-15 ± 58,-7 ± 29,-11 ± 44,-14 ± 12,-2 ± 45,-0.0000067228 ± 0.0000000021,-0.0001666716 ± 0.0000000082,-0.0227169 ± 0.0000011,-89 ± 100,24.7921 ± 0.0066,-15 ± 58,-7 ± 29,-11 ± 44,-14 ± 12,-2 ± 45,-0.0000067228 ± 0.0000000021,-0.0001666716 ± 0.0000000082,-0.0227169 ± 0.0000011,-89 ± 100,60000 ± 260000,84300 ± 1300,590 ± 540,7530 ± 230,300000 ± 6700000,342600 ± 3900,30000 ± 130000,79800 ± 1300,590 ± 540,7530 ± 230,300000 ± 6700000,342600 ± 3900,-0.14 ± 0.92,2800 ± 490,80000 ± 330000,85800 ± 1300,750 ± 680,7760 ± 230,0 ± 0.0E+0,0 ± 0.0E+0,-0.14 ± 0.91,2790 ± 490,-0.0000018 ± 0.0000019,7.6557 ± 0.0017,-3.80E-8 ± 0,-4.40E-9 ± 0,
,,-,,,,,,,1149 ± 64,276 ± 33,346 ± 38,247 ± 14,575 ± 49,0 ± 0.0E+0,220 ± 440,1.6 ± 3.2,2810 ± 470,0 ± 0.0E+0,1.00E+0 ± 0,-3 ± 64,-12 ± 33,4 ± 38,-2 ± 14,-48 ± 49,-0.0000068569 ± 0.0000000020,220 ± 440,1.6 ± 3.2,120 ± 470,-32000000 ± 64000000,-3 ± 64,-12 ± 33,4 ± 38,-2 ± 14,-48 ± 49,-0.0000068569 ± 0.0000000020,220 ± 440,1.6 ± 3.2,120 ± 470,-30000 ± 220000,81300 ± 4500,210 ± 550,7470 ± 430,7100000 ± 7100000,342600 ± 3700,-20000 ± 110000,76900 ± 4300,210 ± 550,7470 ± 430,7100000 ± 7100000,342600 ± 3700,0.8 ± 1.8,3110 ± 490,-40000 ± 280000,82700 ± 4600,260 ± 700,7700 ± 430,0 ± 0.0E+0,0 ± 0.0E+0,0.8 ± 1.8,3100 ± 500,-1.9 ± 3.8,-10000000 ± 20000000,0.05 ± 0.10,-4.44E-9 ± 0,
,,-,,,,,,,1124 ± 55,305 ± 29,358 ± 32,251 ± 12,602 ± 36,0 ± 0.0E+0,400 ± 560,2.9 ± 4.1,3040 ± 560,0 ± 0.0E+0,1.00E+0 ± 0,-30 ± 55,16 ± 29,13 ± 32,-0 ± 12,-27 ± 36,-0.0000070045 ± 0.0000000021,400 ± 560,2.9 ± 4.1,340 ± 560,-57000000 ± 80000000,-30 ± 55,16 ± 29,13 ± 32,-0 ± 12,-27 ± 36,-0.0000070045 ± 0.0000000021,400 ± 560,2.9 ± 4.1,340 ± 560,-70000 ± 190000,74500 ± 6200,10 ± 510,6740 ± 600,3800000 ± 5200000,316000 ± 10000,-36000 ± 95000,70300 ± 6000,10 ± 510,6740 ± 600,3800000 ± 5200000,316000 ± 10000,4.4 ± 5.4,2980 ± 500,-90000 ± 240000,76000 ± 6300,20 ± 650,6960 ± 610,0 ± 0.0E+0,0 ± 0.0E+0,4.4 ± 5.3,2970 ± 500,-0.8 ± 3.8,-18000000 ± 25000000,0.09 ± 0.13,-4.49E-9 ± 0,
,,-,,,,,,,1165 ± 64,276 ± 34,367 ± 27,259 ± 14,664 ± 48,0 ± 0.0E+0,410 ± 580,3.0 ± 4.2,3150 ± 590,0 ± 0.0E+0,1.00E+0 ± 0,9 ± 64,-13 ± 34,20 ± 27,6 ± 14,30 ± 48,-0.0000071442 ± 0.0000000021,410 ± 580,3.0 ± 4.2,420 ± 590,-58000000 ± 81000000,9 ± 64,-13 ± 34,20 ± 27,6 ± 14,30 ± 48,-0.0000071442 ± 0.0000000021,410 ± 580,3.0 ± 4.2,420 ± 590,-110000 ± 160000,75600 ± 6200,-230 ± 600,6900 ± 650,-4200000 ± 6800000,329200 ± 8500,-55000 ± 79000,71400 ± 5900,-230 ± 600,6900 ± 650,-4200000 ± 6800000,329200 ± 8500,-0.3 ± 1.0,3320 ± 430,-140000 ± 200000,77000 ± 6300,-280 ± 750,7120 ± 660,0 ± 0.0E+0,0 ± 0.0E+0,-0.3 ± 1.0,3310 ± 430,-3.3 ± 9.8,-18000000 ± 25000000,0.09 ± 0.13,-4.53E-9 ± 0,
,,-,,,,,,,1143 ± 63,279 ± 33,368 ± 31,251 ± 14,618 ± 39,0 ± 0.0E+0,0 ± 0.0E+0,0 ± 0.0E+0,2660 ± 100,0 ± 0.0E+0,1.00E+0 ± 0,-13 ± 63,-10 ± 33,18 ± 31,-5 ± 14,-21 ± 39,-0.0000072791 ± 0.0000000020,-0.0001688085 ± 0.0000000076,-0.0230000 ± 0.0000010,-70 ± 100,23.1907 ± 0.0053,-13 ± 63,-10 ± 33,18 ± 31,-5 ± 14,-21 ± 39,-0.0000072791 ± 0.0000000020,-0.0001688085 ± 0.0000000076,-0.0230000 ± 0.0000010,-70 ± 100,-100000 ± 190000,81100 ± 2500,220 ± 620,7480 ± 280,2800000 ± 5400000,329700 ± 6600,-52000 ± 93000,76600 ± 2500,220 ± 620,7480 ± 280,2800000 ± 5400000,329700 ± 6600,0.33 ± 0.89,3090 ± 510,-130000 ± 230000,82600 ± 2500,270 ± 780,7710 ± 280,0 ± 0.0E+0,0 ± 0.0E+0,0.33 ± 0.88,3080 ± 510,0.0000024 ± 0.0000017,7.2571 ± 0.0013,-3.79E-8 ± 0,-4.57E-9 ± 0,
,,-,,,,,,,1218 ± 76,268 ± 36,341 ± 32,260 ± 13,659 ± 50,0 ± 0.0E+0,270 ± 540,1.9 ± 3.9,3020 ± 550,0 ± 0.0E+0,1.00E+0 ± 0,60 ± 76,-22 ± 36,-12 ± 32,2 ± 13,15 ± 50,-0.0000074250 ± 0.0000000018,270 ± 540,1.9 ± 3.9,270 ± 550,-36000000 ± 72000000,60 ± 76,-22 ± 36,-12 ± 32,2 ± 13,15 ± 50,-0.0000074250 ± 0.0000000018,270 ± 540,1.9 ± 3.9,270 ± 550,70000 ± 190000,81100 ± 5700,-100 ± 570,6970 ± 550,-2000000 ± 6700000,328000 ± 7700,34000 ± 94000,76800 ± 5400,-100 ± 570,6970 ± 550,-2000000 ± 6700000,328000 ± 7700,-0.35 ± 0.41,2880 ± 520,90000 ± 240000,82600 ± 5800,-120 ± 710,7180 ± 570,0 ± 0.0E+0,0 ± 0.0E+0,-0.35 ± 0.40,2870 ± 520,-24 ± 47,-11000000 ± 23000000,0.06 ± 0.12,-4.61E-9 ± 0,
,,-,,,,,,,1197 ± 69,287 ± 30,363 ± 25,263 ± 13,658 ± 50,0 ± 0.0E+0,0 ± 0.0E+0,0 ± 0.0E+0,2770 ± 100,0 ± 0.0E+0,1.00E+0 ± 0,37 ± 69,-4 ± 30,8 ± 25,4 ± 13,9 ± 50,-0.0000075669 ± 0.0000000019,-0.0001699138 ± 0.0000000072,-0.02314648 ± 0.00000096,10 ± 100,22.4548 ± 0.0046,37 ± 69,-4 ± 30,8 ± 25,4 ± 13,9 ± 50,-0.0000075669 ± 0.0000000019,-0.0001699138 ± 0.0000000072,-0.02314648 ± 0.00000096,10 ± 100,-50000 ± 150000,81400 ± 2300,-160 ± 560,7300 ± 290,-1200000 ± 6600000,332900 ± 5800,-23000 ± 73000,76900 ± 2300,-160 ± 560,7300 ± 290,-1200000 ± 6600000,332900 ± 5800,-0.01 ± 0.39,2870 ± 610,-60000 ± 180000,82800 ± 2300,-200 ± 700,7520 ± 290,0 ± 0.0E+0,0 ± 0.0E+0,-0.01 ± 0.38,2850 ± 610,0.0000006 ± 0.0000012,7.0758 ± 0.0011,-3.79E-8 ± 0,-4.65E-9 ± 0,
,,-,,,,,,,1177 ± 62,293 ± 31,315 ± 19,251 ± 13,643 ± 46,0 ± 0.0E+0,210 ± 420,1.5 ± 3.1,2890 ± 430,0 ± 0.0E+0,1.00E+0 ± 0,15 ± 62,2 ± 31,-43 ± 19,-11 ± 12,-12 ± 46,-0.0000077097 ± 0.0000000020,210 ± 420,1.5 ± 3.1,120 ± 430,-27000000 ± 55000000,15 ± 62,2 ± 31,-43 ± 19,-11 ± 12,-12 ± 46,-0.0000077097 ± 0.0000000020,210 ± 420,1.5 ± 3.1,120 ± 430,250000 ± 110000,81200 ± 3200,460 ± 540,7390 ± 440,1500000 ± 6000000,337100 ± 4800,124000 ± 57000,76800 ± 3000,460 ± 540,7390 ± 440,1500000 ± 6000000,337100 ± 4800,-0.02 ± 0.35,3430 ± 650,310000 ± 140000,82600 ± 3200,570 ± 670,7600 ± 460,0 ± 0.0E+0,0 ± 0.0E+0,-0.02 ± 0.35,3410 ± 650,-3.7 ± 7.3,-9000000 ± 17000000,0.047 ± 0.094,-4.69E-9 ± 0,
,,-,,,,,,,1118 ± 52,299 ± 31,349 ± 29,265 ± 14,628 ± 47,0 ± 0.0E+0,210 ± 410,1.5 ± 3.0,2870 ± 410,0 ± 0.0E+0,1.00E+0 ± 0,-45 ± 52,7 ± 31,-12 ± 29,1 ± 14,-31 ± 47,-0.0000078490 ± 0.0000000021,210 ± 410,1.5 ± 3.0,80 ± 410,-26000000 ± 52000000,-45 ± 52,7 ± 31,-12 ± 29,1 ± 14,-31 ± 47,-0.0000078490 ± 0.0000000021,210 ± 410,1.5 ± 3.0,80 ± 410,70000 ± 170000,80100 ± 3700,-110 ± 590,7090 ± 580,4000000 ± 5900000,337800 ± 4300,34000 ± 86000,75700 ± 3500,-110 ± 590,7090 ± 580,4000000 ± 5900000,337800 ± 4300,-0.09 ± 0.52,3180 ± 400,80000 ± 220000,81500 ± 3700,-140 ± 730,7550 ± 350,0 ± 0.0E+0,0 ± 0.0E+0,-0.09 ± 0.51,3230 ± 400,-10 ± 19,-8000000 ± 17000000,0.046 ± 0.091,-4.73E-9 ± 0,
,,-,,,,,,,1137 ± 74,278 ± 26,338 ± 29,270 ± 19,686 ± 49,0 ± 0.0E+0,480 ± 670,3.5 ± 4.9,3190 ± 690,0 ± 0.0E+0,1.00E+0 ± 0,-27 ± 74,-14 ± 26,-26 ± 29,4 ± 19,21 ± 49,-0.0000079829 ± 0.0000000019,480 ± 670,3.5 ± 4.9,400 ± 690,-60000000 ± 84000000,-27 ± 74,-14 ± 26,-26 ± 29,4 ± 19,21 ± 49,-0.0000079829 ± 0.0000000019,480 ± 670,3.5 ± 4.9,400 ± 690,150000 ± 160000,79500 ± 5600,-110 ± 790,6940 ± 690,-2600000 ± 6100000,334300 ± 5500,73000 ± 81000,75300 ± 5400,-110 ± 790,6940 ± 690,-2600000 ± 6100000,334300 ± 5500,-0.23 ± 0.44,2800 ± 580,180000 ± 200000,80900 ± 5700,-140 ± 980,7150 ± 700,0 ± 0.0E+0,0 ± 0.0E+0,-0.23 ± 0.43,2780 ± 580,0.5 ± 3.4,-19000000 ± 27000000,0.11 ± 0.15,-4.76E-9 ± 0,
