Label,Comment,Components,Shape,Height,Width,Rep Rate,Speed,Angle,Hg202,Pb204,Pb206,Pb207,Pb208,Th232,U238,U235,TotalBeam,BeamSeconds,Mask,Hg202_CPS,Pb204_CPS,Pb206_CPS,Pb207_CPS,Pb208_CPS,Th232_CPS,U238_CPS,U235_CPS,TotalBeam_CPS,Raw U/Th,Hg202_CPS,Pb204_CPS,Pb206_CPS,Pb207_CPS,Pb208_CPS,Th232_CPS,U238_CPS,U235_CPS,TotalBeam_CPS,Pb206/U238,Pb206/U238 age,Pb207/U235,Pb207/U235 age,Pb208/Th232,Pb208/Th232 age,DC Pb206/U238,DC Pb206/U238 age,DC Pb207/U235,DC Pb207/U235 age,DC Pb208/Th232,DC Pb208/Th232 age,DC Pb207/Pb206,DC Pb207/Pb206 age,Final Pb206/U238,Final Pb206/U238 age,Final Pb207/U235,Final Pb207/U235 age,Final Pb208/Th232,Final Pb208/Th232 age,Final Pb207/Pb206,Final Pb207/Pb206 age,Final U238/Pb206,Final U/Th,rho 206Pb/238U v 207Pb/235U,rho 207Pb/206Pb v 238U/206Pb,
,,-,,,,,,,1095 ± 75,271 ± 36,280 ± 23,189 ± 13,479 ± 43,0 ± 0.0E+0,830 ± 820,6.1 ± 5.9,3150 ± 820,0.014 ± 0.015,1.00E+0 ± 0,-130 ± 260,-20 ± 180,-35 ± 54,-21 ± 64,-40 ± 250,-0.0000032216 ± 0.0000000087,15844.379846776 ± 0.000000033,114.9790650 ± 0.0000044,15690 ± 160,-4918000000 ± 13000000,-20 ± 75,-1 ± 36,10 ± 23,-7 ± 13,-10 ± 43,-0.0000032128 ± 0.0000000020,830 ± 820,6.0 ± 5.9,790 ± 820,-0.0022 ± 0.0034,-14 ± 22,-0.18 ± 0.55,-390 ± 740,11000000 ± 78000000,366000 ± 11000,-0.0022 ± 0.0034,-14 ± 22,-0.18 ± 0.55,-390 ± 740,11000000 ± 78000000,366000 ± 11000,0.0 ± 1.1,-,-0.00013 ± 0.00019,-0.8 ± 1.3,-0.08 ± 0.23,-100 ± 240,0 ± 0.0E+0,0 ± 0.0E+0,0.0 ± 1.1,-,-1900 ± 5700,-1516300000 ± 3800000,nan,nan,
,,-,,,,,,,1119 ± 68,283 ± 30,283 ± 28,204 ± 13,500 ± 40,0 ± 0.0E+0,0 ± 0.0E+0,0 ± 0.0E+0,2389 ± 87,0 ± 0.0E+0,-,-,-,-,-,-,-,-,-,-,-,3 ± 68,10 ± 30,10 ± 28,6 ± 13,6 ± 40,-0.0000033560 ± 0.0000000019,-0.0001537402 ± 0.0000000074,-0.02100338 ± 0.00000098,9 ± 87,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,nan,nan,
,,-,,,,,,,1121 ± 71,276 ± 36,339 ± 93,212 ± 13,521 ± 43,0 ± 0.0E+0,260 ± 510,1.9 ± 3.7,2730 ± 550,0.0035 ± 0.0069,1.00E+0 ± 0,3.83E+2 ± 0,3.95E+1 ± 0,5.94E+0 ± 0,-1.25E+1 ± 0,3.13E+2 ± 0,-3.50E-6 ± 0,1.58E+4 ± 0,1.15E+2 ± 0,1.67E+4 ± 0,-4.53E+9 ± 0,4 ± 71,3 ± 36,64 ± 93,12 ± 13,22 ± 43,-0.0000034927 ± 0.0000000019,260 ± 510,1.8 ± 3.7,340 ± 550,3.75E-4 ± 0,2.42E+0 ± 0,-1.09E-1 ± 0,-1.17E+2 ± 0,-8.95E+7 ± 0,-,3.75E-4 ± 0,2.42E+0 ± 0,-1.09E-1 ± 0,-1.17E+2 ± 0,-8.95E+7 ± 0,-,-2.10E+0 ± 0,-,2.12E-5 ± 0,1.36E-1 ± 0,-4.49E-2 ± 0,-4.67E+1 ± 0,0 ± 0.0E+0,0 ± 0.0E+0,-2.08E+0 ± 0,-,4.73E+4 ± 0,-1.41E+9 ± 0,nan,nan,
,,-,,,,,,,1090 ± 81,276 ± 33,290 ± 30,204 ± 12,488 ± 47,0 ± 0.0E+0,0 ± 0.0E+0,0 ± 0.0E+0,2350 ± 100,0 ± 0.0E+0,-,-,-,-,-,-,-,-,-,-,-,-28 ± 81,2 ± 33,12 ± 30,2 ± 12,-16 ± 47,-0.0000036314 ± 0.0000000019,-0.0001547982 ± 0.0000000073,-0.02114357 ± 0.00000096,-60 ± 100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,nan,nan,
,,-,,,,,,,1073 ± 69,236 ± 27,364 ± 38,222 ± 15,515 ± 48,0 ± 0.0E+0,0 ± 0.0E+0,0 ± 0.0E+0,2410 ± 100,0 ± 0.0E+0,-,-,-,-,-,-,-,-,-,-,-,-48 ± 69,-38 ± 27,83 ± 38,18 ± 15,5 ± 48,-0.0000037780 ± 0.0000000019,-0.0001553614 ± 0.0000000074,-0.02121819 ± 0.00000098,-10 ± 100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,nan,nan,
,,-,,,,,,,1119 ± 59,275 ± 28,282 ± 24,210 ± 12,528 ± 38,0 ± 0.0E+0,0 ± 0.0E+0,0 ± 0.0E+0,2415 ± 76,0 ± 0.0E+0,-,-,-,-,-,-,-,-,-,-,-,-3 ± 59,-0 ± 28,-1 ± 24,4 ± 12,13 ± 38,-0.0000039232 ± 0.0000000020,-0.0001559191 ± 0.0000000079,-0.0212921 ± 0.0000010,-16 ± 76,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,nan,nan,
,,-,,,,,,,1080 ± 61,312 ± 31,264 ± 23,211 ± 11,499 ± 36,0 ± 0.0E+0,210 ± 430,1.6 ± 3.1,2580 ± 440,0.0029 ± 0.0058,1.00E+0 ± 0,-1.23E+2 ± 0,-8.80E+1 ± 0,2.58E+1 ± 0,-8.47E+0 ± 0,1.67E+2 ± 0,-4.07E-6 ± 0,1.58E+4 ± 0,1.15E+2 ± 0,1.59E+4 ± 0,-3.89E+9 ± 0,-43 ± 61,36 ± 31,-23 ± 23,3 ± 11,-21 ± 36,-0.0000040666 ± 0.0000000020,210 ± 430,1.5 ± 3.1,140 ± 440,1.63E-3 ± 0,1.05E+1 ± 0,-7.36E-2 ± 0,-7.77E+1 ± 0,-4.09E+7 ± 0,-,1.63E-3 ± 0,1.05E+1 ± 0,-7.36E-2 ± 0,-7.77E+1 ± 0,-4.09E+7 ± 0,-,-3.28E-1 ± 0,-,9.09E-5 ± 0,5.86E-1 ± 0,-3.01E-2 ± 0,-3.10E+1 ± 0,0 ± 0.0E+0,0 ± 0.0E+0,-3.25E-1 ± 0,-,1.10E+4 ± 0,-1.23E+9 ± 0,nan,nan,
,,-,,,,,,,1126 ± 61,296 ± 32,281 ± 26,211 ± 12,529 ± 46,0 ± 0.0E+0,230 ± 450,1.6 ± 3.3,2670 ± 450,0.0031 ± 0.0061,1.00E+0 ± 0,-1.25E+2 ± 0,3.64E+1 ± 0,-1.33E+2 ± 0,-3.54E+1 ± 0,-3.38E+2 ± 0,-4.20E-6 ± 0,1.58E+4 ± 0,1.15E+2 ± 0,1.53E+4 ± 0,-3.77E+9 ± 0,1 ± 61,20 ± 32,-8 ± 26,1 ± 12,4 ± 46,-0.0000042068 ± 0.0000000020,230 ± 450,1.6 ± 3.3,220 ± 450,-8.39E-3 ± 0,-5.43E+1 ± 0,-3.08E-1 ± 0,-3.73E+2 ± 0,8.04E+7 ± 0,3.68E+5 ± 0,-8.39E-3 ± 0,-5.43E+1 ± 0,-3.08E-1 ± 0,-3.73E+2 ± 0,8.04E+7 ± 0,3.68E+5 ± 0,2.66E-1 ± 0,3.28E+3 ± 0,-4.67E-4 ± 0,-3.01E+0 ± 0,-1.25E-1 ± 0,-1.36E+2 ± 0,0 ± 0.0E+0,0 ± 0.0E+0,2.63E-1 ± 0,3.27E+3 ± 0,-2.14E+3 ± 0,-1.19E+9 ± 0,nan,nan,
,,-,,,,,,,1129 ± 64,285 ± 33,280 ± 31,200 ± 11,543 ± 50,0 ± 0.0E+0,240 ± 480,1.7 ± 3.5,2680 ± 490,0.0032 ± 0.0065,1.00E+0 ± 0,6.12E+1 ± 0,-2.14E+2 ± 0,-1.09E+1 ± 0,-4.65E-2 ± 0,1.56E+2 ± 0,-4.35E-6 ± 0,1.58E+4 ± 0,1.15E+2 ± 0,1.59E+4 ± 0,-3.64E+9 ± 0,3 ± 64,8 ± 33,-12 ± 31,-12 ± 11,12 ± 50,-0.0000043413 ± 0.0000000019,240 ± 480,1.7 ± 3.5,210 ± 490,-6.89E-4 ± 0,-4.44E+0 ± 0,-4.04E-4 ± 0,-4.10E-1 ± 0,-3.60E+7 ± 0,-,-6.89E-4 ± 0,-4.44E+0 ± 0,-4.04E-4 ± 0,-4.10E-1 ± 0,-3.60E+7 ± 0,-,4.26E-3 ± 0,-,-3.82E-5 ± 0,-2.46E-1 ± 0,-1.64E-4 ± 0,-1.67E-1 ± 0,0 ± 0.0E+0,0 ± 0.0E+0,4.21E-3 ± 0,-,-2.62E+4 ± 0,-1.16E+9 ± 0,nan,nan,
,,-,,,,,,,1101 ± 69,281 ± 32,302 ± 32,205 ± 11,532 ± 40,0 ± 0.0E+0,430 ± 610,3.2 ± 4.4,2860 ± 630,0.0059 ± 0.0082,1.00E+0 ± 0,59.682 ± 0.089,-59 ± 63,-80 ± 130,4 ± 13,250 ± 560,-0.0000044932 ± 0.0000000085,15844.379841892 ± 0.000000033,114.9784179 ± 0.0000043,16100 ± 760,-3526300000 ± 6700000,-27 ± 69,4 ± 32,7 ± 32,-10 ± 11,-4 ± 40,-0.0000044833 ± 0.0000000020,430 ± 610,3.1 ± 4.4,380 ± 630,-0.0048 ± 0.0079,-31 ± 51,0.04 ± 0.11,30 ± 110,-50000000 ± 130000000,3.21E+5 ± 0,-0.0048 ± 0.0079,-31 ± 51,0.04 ± 0.11,30 ± 110,-50000000 ± 130000000,3.21E+5 ± 0,-0.38 ± 0.78,-,-0.00027 ± 0.00044,-1.7 ± 2.8,0.015 ± 0.045,14 ± 45,0 ± 0.0E+0,0 ± 0.0E+0,-0.37 ± 0.77,-,-12000 ± 19000,-1123100000 ± 1900000,nan,nan,
,,-,,,,,,,1080 ± 55,276 ± 33,261 ± 19,204 ± 12,522 ± 39,0 ± 0.0E+0,190 ± 380,1.4 ± 2.8,2540 ± 410,0.0026 ± 0.0052,1.00E+0 ± 0,3.71E+2 ± 0,-9.03E+1 ± 0,1.72E+2 ± 0,5.87E+1 ± 0,8.47E+1 ± 0,-4.61E-6 ± 0,1.58E+4 ± 0,1.15E+2 ± 0,1.65E+4 ± 0,-3.44E+9 ± 0,-49 ± 55,-2 ± 33,-37 ± 19,-12 ± 12,-19 ± 39,-0.0000046206 ± 0.0000000021,190 ± 380,1.4 ± 2.8,40 ± 410,1.08E-2 ± 0,6.94E+1 ± 0,5.11E-1 ± 0,4.19E+2 ± 0,-1.84E+7 ± 0,-,1.08E-2 ± 0,6.94E+1 ± 0,5.11E-1 ± 0,4.19E+2 ± 0,-1.84E+7 ± 0,-,3.42E-1 ± 0,3.67E+3 ± 0,5.98E-4 ± 0,3.85E+0 ± 0,2.07E-1 ± 0,1.91E+2 ± 0,0 ± 0.0E+0,0 ± 0.0E+0,3.39E-1 ± 0,3.66E+3 ± 0,1.67E+3 ± 0,-1.10E+9 ± 0,nan,nan,
,,-,,,,,,,1175 ± 56,281 ± 30,339 ± 28,243 ± 13,584 ± 40,0 ± 0.0E+0,0 ± 0.0E+0,0 ± 0.0E+0,2622 ± 77,0 ± 0.0E+0,-,-,-,-,-,-,-,-,-,-,-,31 ± 56,-3 ± 30,14 ± 28,6 ± 13,-8 ± 40,-0.0000060099 ± 0.0000000021,-0.0001639335 ± 0.0000000080,-0.0223541 ± 0.0000011,3 ± 77,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,nan,nan,
,,-,,,,,,,1172 ± 65,317 ± 30,388 ± 31,250 ± 14,591 ± 45,0 ± 0.0E+0,210 ± 420,1.5 ± 3.1,2930 ± 430,0.0029 ± 0.0057,1.00E+0 ± 0,4.24E+1 ± 0,2.79E+1 ± 0,-4.63E+1 ± 0,-2.64E+1 ± 0,-2.22E+2 ± 0,-6.15E-6 ± 0,1.58E+4 ± 0,1.15E+2 ± 0,1.57E+4 ± 0,-2.58E+9 ± 0,27 ± 65,32 ± 30,60 ± 31,11 ± 14,-6 ± 45,-0.0000061498 ± 0.0000000020,210 ± 420,1.5 ± 3.1,300 ± 430,-2.92E-3 ± 0,-1.89E+1 ± 0,-2.30E-1 ± 0,-2.65E+2 ± 0,3.61E+7 ± 0,3.52E+5 ± 0,-2.92E-3 ± 0,-1.89E+1 ± 0,-2.30E-1 ± 0,-2.65E+2 ± 0,3.61E+7 ± 0,3.52E+5 ± 0,5.70E-1 ± 0,4.43E+3 ± 0,-1.57E-4 ± 0,-1.01E+0 ± 0,-9.04E-2 ± 0,-9.62E+1 ± 0,0 ± 0.0E+0,0 ± 0.0E+0,5.65E-1 ± 0,4.42E+3 ± 0,-6.38E+3 ± 0,-8.58E+8 ± 0,nan,nan,
,,-,,,,,,,1130 ± 58,271 ± 32,323 ± 27,246 ± 13,610 ± 45,0 ± 0.0E+0,230 ± 460,1.7 ± 3.3,2810 ± 480,0.0031 ± 0.0062,1.00E+0 ± 0,-8.41E+1 ± 0,2.73E+1 ± 0,-8.04E+1 ± 0,7.15E+1 ± 0,2.10E+2 ± 0,-6.29E-6 ± 0,1.58E+4 ± 0,1.15E+2 ± 0,1.61E+4 ± 0,-2.52E+9 ± 0,-16 ± 58,-14 ± 32,-7 ± 27,5 ± 13,7 ± 45,-0.0000062888 ± 0.0000000020,230 ± 460,1.6 ± 3.3,170 ± 480,-5.08E-3 ± 0,-3.28E+1 ± 0,6.22E-1 ± 0,4.91E+2 ± 0,-3.34E+7 ± 0,-,-5.08E-3 ± 0,-3.28E+1 ± 0,6.22E-1 ± 0,4.91E+2 ± 0,-3.34E+7 ± 0,-,-8.89E-1 ± 0,-,-2.72E-4 ± 0,-1.75E+0 ± 0,2.44E-1 ± 0,2.22E+2 ± 0,0 ± 0.0E+0,0 ± 0.0E+0,-8.81E-1 ± 0,-,-3.68E+3 ± 0,-8.41E+8 ± 0,nan,nan,
,,-,,,,,,,1178 ± 54,288 ± 30,300 ± 26,234 ± 11,598 ± 47,0 ± 0.0E+0,410 ± 570,2.9 ± 4.1,3010 ± 590,0.0055 ± 0.0077,1.00E+0 ± 0,100 ± 130,60 ± 310,90 ± 160,1 ± 12,-10 ± 190,-0.000006440 ± 0.000000022,15844.379834414 ± 0.000000085,114.977427 ± 0.000011,16150 ± 230,-2460300000 ± 8500000,30 ± 54,3 ± 30,-34 ± 26,-9 ± 11,-10 ± 47,-0.0000064376 ± 0.0000000021,410 ± 570,2.9 ± 4.1,350 ± 590,0.0056 ± 0.0099,36 ± 63,0.00 ± 0.11,0 ± 110,2000000 ± 29000000,3.36E+5 ± 0,0.0056 ± 0.0099,36 ± 63,0.00 ± 0.11,0 ± 110,2000000 ± 29000000,3.36E+5 ± 0,0.31 ± 0.69,-,0.00030 ± 0.00053,1.9 ± 3.4,0.002 ± 0.041,2 ± 42,0 ± 0.0E+0,0 ± 0.0E+0,0.31 ± 0.68,-,15000 ± 27000,-825300000 ± 2300000,nan,nan,
,,-,,,,,,,1226 ± 55,311 ± 35,306 ± 17,234 ± 12,604 ± 44,0 ± 0.0E+0,490 ± 560,3.6 ± 4.1,3180 ± 560,0.0066 ± 0.0076,1.00E+0 ± 0,60 ± 480,88.500 ± 0.075,-34 ± 91,-8 ± 50,-220 ± 180,-0.000006590 ± 0.000000017,15844.379833838 ± 0.000000065,114.9773507 ± 0.0000087,15810 ± 390,-2404300000 ± 6200000,76 ± 55,25 ± 35,-30 ± 17,-12 ± 12,-9 ± 44,-0.0000065844 ± 0.0000000023,490 ± 560,3.5 ± 4.1,500 ± 560,-0.0022 ± 0.0057,-14 ± 37,-0.07 ± 0.43,-120 ± 440,33000000 ± 28000000,344000 ± 24000,-0.0022 ± 0.0057,-14 ± 37,-0.07 ± 0.43,-120 ± 440,33000000 ± 28000000,344000 ± 24000,-0.8 ± 1.2,3.35E+3 ± 0,-0.00011 ± 0.00030,-0.7 ± 2.0,-0.03 ± 0.17,-30 ± 170,0 ± 0.0E+0,0 ± 0.0E+0,-0.8 ± 1.2,3.34E+3 ± 0,-2000 ± 12000,-809800000 ± 1700000,nan,nan,
,,-,,,,,,,1136 ± 58,280 ± 29,328 ± 44,234 ± 12,616 ± 45,0 ± 0.0E+0,0 ± 0.0E+0,0 ± 0.0E+0,2594 ± 100,0 ± 0.0E+0,-,-,-,-,-,-,-,-,-,-,-,-15 ± 58,-7 ± 29,-11 ± 44,-14 ± 12,-2 ± 45,-0.0000067228 ± 0.0000000021,-0.0001666716 ± 0.0000000082,-0.0227169 ± 0.0000011,-89 ± 100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,nan,nan,
,,-,,,,,,,1149 ± 64,276 ± 33,346 ± 38,247 ± 14,575 ± 49,0 ± 0.0E+0,220 ± 440,1.6 ± 3.2,2810 ± 470,0.0030 ± 0.0060,1.00E+0 ± 0,3.47E+2 ± 0,-1.00E+2 ± 0,-9.15E+1 ± 0,1.88E+2 ± 0,1.27E+2 ± 0,-6.85E-6 ± 0,1.58E+4 ± 0,1.15E+2 ± 0,1.64E+4 ± 0,-2.31E+9 ± 0,-3 ± 64,-12 ± 33,4 ± 38,-2 ± 14,-48 ± 49,-0.0000068569 ± 0.0000000020,220 ± 440,1.6 ± 3.2,120 ± 470,-5.77E-3 ± 0,-3.73E+1 ± 0,1.64E+0 ± 0,9.85E+2 ± 0,-1.85E+7 ± 0,-,-5.77E-3 ± 0,-3.73E+1 ± 0,1.64E+0 ± 0,9.85E+2 ± 0,-1.85E+7 ± 0,-,-2.06E+0 ± 0,-,-3.06E-4 ± 0,-1.97E+0 ± 0,6.36E-1 ± 0,5.00E+2 ± 0,0 ± 0.0E+0,0 ± 0.0E+0,-2.04E+0 ± 0,-,-3.27E+3 ± 0,-7.84E+8 ± 0,nan,nan,
,,-,,,,,,,1124 ± 55,305 ± 29,358 ± 32,251 ± 12,602 ± 36,0 ± 0.0E+0,400 ± 560,2.9 ± 4.1,3040 ± 560,0.0054 ± 0.0076,1.00E+0 ± 0,-440 ± 190,20 ± 130,50 ± 280,10.96 ± 0.27,-97 ± 62,-0.000007009 ± 0.000000019,15844.379832229 ± 0.000000071,114.9771375 ± 0.0000095,15470 ± 400,-2260600000 ± 6000000,-30 ± 55,16 ± 29,13 ± 32,-0 ± 12,-27 ± 36,-0.0000070045 ± 0.0000000021,400 ± 560,2.9 ± 4.1,340 ± 560,0.003 ± 0.018,20 ± 110,0.0953 ± 0.0024,92.4 ± 2.2,13900000 ± 8900000,331000 ± 13000,0.003 ± 0.018,20 ± 110,0.0953 ± 0.0024,92.4 ± 2.2,13900000 ± 8900000,331000 ± 13000,-0.03 ± 0.18,5.30E+2 ± 0,0.00015 ± 0.00094,1.0 ± 6.0,0.03694 ± 0.00093,36.83 ± 0.91,0 ± 0.0E+0,0 ± 0.0E+0,-0.03 ± 0.17,5.11E+2 ± 0,-800 ± 4800,-770300000 ± 1600000,nan,nan,
,,-,,,,,,,1165 ± 64,276 ± 34,367 ± 27,259 ± 14,664 ± 48,0 ± 0.0E+0,410 ± 580,3.0 ± 4.2,3150 ± 590,0.0056 ± 0.0078,1.00E+0 ± 0,-62 ± 63,-40 ± 500,40 ± 160,28 ± 62,-40 ± 440,-0.0000071521 ± 0.0000000053,15844.379831679 ± 0.000000020,114.9770646 ± 0.0000027,15850 ± 220,-2215300000 ± 1600000,9 ± 64,-13 ± 34,20 ± 27,6 ± 14,30 ± 48,-0.0000071442 ± 0.0000000021,410 ± 580,3.0 ± 4.2,420 ± 590,0.0027 ± 0.0099,17 ± 63,0.24 ± 0.54,190 ± 450,6000000 ± 61000000,3.52E+5 ± 0,0.0027 ± 0.0099,17 ± 63,0.24 ± 0.54,190 ± 450,6000000 ± 61000000,3.52E+5 ± 0,0.29 ± 0.38,2900 ± 2500,0.00014 ± 0.00052,0.9 ± 3.3,0.09 ± 0.21,90 ± 200,0 ± 0.0E+0,0 ± 0.0E+0,0.29 ± 0.38,2900 ± 2500,-3000 ± 11000,-757900000 ± 450000,nan,nan,
,,-,,,,,,,1143 ± 63,279 ± 33,368 ± 31,251 ± 14,618 ± 39,0 ± 0.0E+0,0 ± 0.0E+0,0 ± 0.0E+0,2660 ± 100,0 ± 0.0E+0,-,-,-,-,-,-,-,-,-,-,-,-13 ± 63,-10 ± 33,18 ± 31,-5 ± 14,-21 ± 39,-0.0000072791 ± 0.0000000020,-0.0001688085 ± 0.0000000076,-0.0230000 ± 0.0000010,-70 ± 100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,nan,nan,
,,-,,,,,,,1218 ± 76,268 ± 36,341 ± 32,260 ± 13,659 ± 50,0 ± 0.0E+0,270 ± 540,1.9 ± 3.9,3020 ± 550,0.0036 ± 0.0073,1.00E+0 ± 0,2.90E+1 ± 0,2.72E+2 ± 0,-9.04E+0 ± 0,4.84E+0 ± 0,-3.94E+2 ± 0,-7.43E-6 ± 0,1.58E+4 ± 0,1.15E+2 ± 0,1.58E+4 ± 0,-2.13E+9 ± 0,60 ± 76,-22 ± 36,-12 ± 32,2 ± 13,15 ± 50,-0.0000074250 ± 0.0000000018,270 ± 540,1.9 ± 3.9,270 ± 550,-5.71E-4 ± 0,-3.68E+0 ± 0,4.21E-2 ± 0,4.19E+1 ± 0,5.31E+7 ± 0,3.60E+5 ± 0,-5.71E-4 ± 0,-3.68E+0 ± 0,4.21E-2 ± 0,4.19E+1 ± 0,5.31E+7 ± 0,3.60E+5 ± 0,-5.35E-1 ± 0,-,-2.99E-5 ± 0,-1.93E-1 ± 0,1.62E-2 ± 0,1.63E+1 ± 0,0 ± 0.0E+0,0 ± 0.0E+0,-5.31E-1 ± 0,-,-3.34E+4 ± 0,-7.36E+8 ± 0,nan,nan,
,,-,,,,,,,1197 ± 69,287 ± 30,363 ± 25,263 ± 13,658 ± 50,0 ± 0.0E+0,0 ± 0.0E+0,0 ± 0.0E+0,2770 ± 100,0 ± 0.0E+0,-,-,-,-,-,-,-,-,-,-,-,37 ± 69,-4 ± 30,8 ± 25,4 ± 13,9 ± 50,-0.0000075669 ± 0.0000000019,-0.0001699138 ± 0.0000000072,-0.02314648 ± 0.00000096,10 ± 100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,nan,nan,
,,-,,,,,,,1177 ± 62,293 ± 31,315 ± 19,251 ± 13,643 ± 46,0 ± 0.0E+0,210 ± 420,1.5 ± 3.1,2890 ± 430,0.0029 ± 0.0057,1.00E+0 ± 0,-1.61E+2 ± 0,-1.66E+2 ± 0,-4.59E+1 ± 0,-3.68E+1 ± 0,9.55E+1 ± 0,-7.71E-6 ± 0,1.58E+4 ± 0,1.15E+2 ± 0,1.56E+4 ± 0,-2.06E+9 ± 0,15 ± 62,2 ± 31,-43 ± 19,-11 ± 12,-12 ± 46,-0.0000077097 ± 0.0000000020,210 ± 420,1.5 ± 3.1,120 ± 430,-2.90E-3 ± 0,-1.87E+1 ± 0,-3.20E-1 ± 0,-3.92E+2 ± 0,-1.24E+7 ± 0,-,-2.90E-3 ± 0,-1.87E+1 ± 0,-3.20E-1 ± 0,-3.92E+2 ± 0,-1.24E+7 ± 0,-,8.02E-1 ± 0,-,-1.51E-4 ± 0,-9.74E-1 ± 0,-1.23E-1 ± 0,-1.33E+2 ± 0,0 ± 0.0E+0,0 ± 0.0E+0,7.96E-1 ± 0,-,-6.62E+3 ± 0,-7.14E+8 ± 0,nan,nan,
,,-,,,,,,,1118 ± 52,299 ± 31,349 ± 29,265 ± 14,628 ± 47,0 ± 0.0E+0,210 ± 410,1.5 ± 3.0,2870 ± 410,0.0028 ± 0.0056,1.00E+0 ± 0,-2.25E+2 ± 0,-1.04E+2 ± 0,-1.72E+1 ± 0,-1.01E+2 ± 0,-2.84E+2 ± 0,-7.84E-6 ± 0,1.58E+4 ± 0,1.15E+2 ± 0,1.52E+4 ± 0,-2.02E+9 ± 0,-45 ± 52,7 ± 31,-12 ± 29,1 ± 14,-31 ± 47,-0.0000078490 ± 0.0000000021,210 ± 410,1.5 ± 3.0,80 ± 410,-1.09E-3 ± 0,-7.01E+0 ± 0,-8.81E-1 ± 0,-2.16E+3 ± 0,3.63E+7 ± 0,3.52E+5 ± 0,-1.09E-3 ± 0,-7.01E+0 ± 0,-8.81E-1 ± 0,-2.16E+3 ± 0,3.63E+7 ± 0,3.52E+5 ± 0,5.88E+0 ± 0,-,-5.66E-5 ± 0,-3.65E-1 ± 0,-3.36E-1 ± 0,-4.16E+2 ± 0,0 ± 0.0E+0,0 ± 0.0E+0,5.83E+0 ± 0,-,-1.77E+4 ± 0,-7.05E+8 ± 0,nan,nan,
,,-,,,,,,,1137 ± 74,278 ± 26,338 ± 29,270 ± 19,686 ± 49,0 ± 0.0E+0,480 ± 670,3.5 ± 4.9,3190 ± 690,0.0065 ± 0.0091,1.00E+0 ± 0,-71 ± 63,19.8954 ± 0.0088,-40 ± 340,60 ± 150,90 ± 380,-0.0000079842 ± 0.0000000020,15844.3798284837 ± 0.0000000078,114.9766412 ± 0.0000010,15970 ± 240,-1984480000 ± 500000,-27 ± 74,-14 ± 26,-26 ± 29,4 ± 19,21 ± 49,-0.0000079829 ± 0.0000000019,480 ± 670,3.5 ± 4.9,400 ± 690,-0.002 ± 0.022,-10 ± 140,0.5 ± 1.3,320 ± 940,-11000000 ± 47000000,3.31E+5 ± 0,-0.002 ± 0.022,-10 ± 140,0.5 ± 1.3,320 ± 940,-11000000 ± 47000000,3.31E+5 ± 0,-0.38 ± 0.53,-,-0.0001 ± 0.0011,-0.8 ± 7.3,0.20 ± 0.50,160 ± 430,0 ± 0.0E+0,0 ± 0.0E+0,-0.38 ± 0.53,-,400 ± 3700,-695060000 ± 140000,nan,nan,
,,-,,,,,,,1123 ± 60,278 ± 27,352 ± 28,259 ± 14,661 ± 50,210 ± 410,410 ± 580,3.0 ± 4.2,3290 ± 720,0.0056 ± 0.0078,1.00E+0 ± 0,-170 ± 370,110 ± 440,8.21 ± 0.16,-24 ± 13,140 ± 130,-0.0000081354 ± 0.0000000081,15844.379827903 ± 0.000000031,114.9765642 ± 0.0000041,15990 ± 200,-1947600000 ± 1900000,-43 ± 60,-15 ± 27,-15 ± 28,-9 ± 14,-9 ± 50,210 ± 410,410 ± 580,3.0 ± 4.2,480 ± 720,0.000518 ± 0.000010,3.339 ± 0.065,-0.21 ± 0.11,-240 ± 140,-18000000 ± 15000000,-,0.000518 ± 0.000010,3.339 ± 0.065,-0.21 ± 0.11,-240 ± 140,-18000000 ± 15000000,-,-3.0 ± 1.6,-,0.00002681 ± 0.00000052,0.1729 ± 0.0034,-0.080 ± 0.042,-85 ± 46,0 ± 0.0E+0,0 ± 0.0E+0,-2.9 ± 1.6,-,37300 ± 730,-685090000 ± 520000,nan,nan,
,,-,,,,,,,1128 ± 63,272 ± 28,382 ± 27,273 ± 14,722 ± 47,0 ± 0.0E+0,0 ± 0.0E+0,0 ± 0.0E+0,2777 ± 82,0 ± 0.0E+0,-,-,-,-,-,-,-,-,-,-,-,-40 ± 63,-22 ± 28,12 ± 27,3 ± 14,47 ± 47,-0.0000082687 ± 0.0000000020,-0.0001726092 ± 0.0000000075,-0.02350364 ± 0.00000099,-46 ± 82,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,nan,nan,
